"Program","Algorithm","Approach","Exam_Score","Inspect_1","Inspect_3","Inspect_5","Inspect_10"
"P01","DStar","Statement-Based",0.141626669238923,FALSE,TRUE,FALSE,TRUE
"P02","DStar","Statement-Based",0.272914115367868,FALSE,FALSE,FALSE,TRUE
"P03","DStar","Statement-Based",0.46973092872414,TRUE,FALSE,TRUE,FALSE
"P04","DStar","Statement-Based",0.208353861702971,TRUE,TRUE,FALSE,TRUE
"P05","DStar","Statement-Based",0.234406240181354,TRUE,FALSE,TRUE,TRUE
"P06","DStar","Statement-Based",0.258365675994718,TRUE,FALSE,TRUE,FALSE
"P07","DStar","Statement-Based",0.19266855176425,FALSE,FALSE,TRUE,TRUE
"P08","DStar","Statement-Based",0.209179069337591,FALSE,TRUE,TRUE,TRUE
"P09","DStar","Statement-Based",0.183655571093509,FALSE,FALSE,TRUE,FALSE
"P10","DStar","Statement-Based",0.418607888340703,FALSE,FALSE,FALSE,FALSE
"P11","DStar","Statement-Based",0.273713855315251,TRUE,FALSE,TRUE,FALSE
"P12","DStar","Statement-Based",0.236271033084953,TRUE,TRUE,FALSE,TRUE
"P01","GenProg","Statement-Based",0.187713024674289,FALSE,FALSE,TRUE,TRUE
"P02","GenProg","Statement-Based",0.310940000783186,FALSE,FALSE,TRUE,TRUE
"P03","GenProg","Statement-Based",0.171373836224255,FALSE,FALSE,FALSE,FALSE
"P04","GenProg","Statement-Based",0.354743625590999,FALSE,FALSE,TRUE,FALSE
"P05","GenProg","Statement-Based",0.222622574442558,FALSE,TRUE,TRUE,FALSE
"P06","GenProg","Statement-Based",0.177256824466774,TRUE,TRUE,TRUE,FALSE
"P07","GenProg","Statement-Based",0.281237444121943,TRUE,FALSE,FALSE,TRUE
"P08","GenProg","Statement-Based",0.157467088142026,FALSE,FALSE,FALSE,TRUE
"P09","GenProg","Statement-Based",0.166461048277793,FALSE,FALSE,TRUE,FALSE
"P10","GenProg","Statement-Based",0.255451361996365,FALSE,FALSE,FALSE,TRUE
"P11","GenProg","Statement-Based",0.120264157008536,FALSE,FALSE,FALSE,TRUE
"P12","GenProg","Statement-Based",0.353916170279501,FALSE,TRUE,FALSE,TRUE
"P01","Jaccard","Statement-Based",0.23349917265179,FALSE,FALSE,FALSE,FALSE
"P02","Jaccard","Statement-Based",0.111509645709397,FALSE,TRUE,FALSE,TRUE
"P03","Jaccard","Statement-Based",0.404523167415817,TRUE,FALSE,FALSE,FALSE
"P04","Jaccard","Statement-Based",0.322992963369126,FALSE,FALSE,FALSE,TRUE
"P05","Jaccard","Statement-Based",0.254661468469063,FALSE,FALSE,TRUE,FALSE
"P06","Jaccard","Statement-Based",0.390077302510594,FALSE,TRUE,TRUE,TRUE
"P07","Jaccard","Statement-Based",0.355488966830378,FALSE,FALSE,FALSE,FALSE
"P08","Jaccard","Statement-Based",0.360086794185931,FALSE,FALSE,TRUE,TRUE
"P09","Jaccard","Statement-Based",0.318461848246667,FALSE,FALSE,FALSE,FALSE
"P10","Jaccard","Statement-Based",0.299717547205808,FALSE,FALSE,FALSE,TRUE
"P11","Jaccard","Statement-Based",0.272504167831591,TRUE,FALSE,TRUE,FALSE
"P12","Jaccard","Statement-Based",0.189801396503509,FALSE,TRUE,FALSE,TRUE
"P01","Ochiai","Statement-Based",0.281548376416684,FALSE,FALSE,TRUE,FALSE
"P02","Ochiai","Statement-Based",0.191424842768834,FALSE,FALSE,TRUE,TRUE
"P03","Ochiai","Statement-Based",0.246746744434614,TRUE,FALSE,FALSE,TRUE
"P04","Ochiai","Statement-Based",0.129527210410671,TRUE,TRUE,FALSE,TRUE
"P05","Ochiai","Statement-Based",0.40767906265653,FALSE,FALSE,TRUE,TRUE
"P06","Ochiai","Statement-Based",0.121570665336733,FALSE,FALSE,TRUE,FALSE
"P07","Ochiai","Statement-Based",0.215224124565158,FALSE,FALSE,FALSE,TRUE
"P08","Ochiai","Statement-Based",0.227192271222693,FALSE,TRUE,FALSE,TRUE
"P09","Ochiai","Statement-Based",0.372114916165836,TRUE,FALSE,FALSE,TRUE
"P10","Ochiai","Statement-Based",0.230165208692823,FALSE,TRUE,FALSE,TRUE
"P11","Ochiai","Statement-Based",0.268984497682273,FALSE,TRUE,FALSE,TRUE
"P12","Ochiai","Statement-Based",0.244594245780195,FALSE,FALSE,TRUE,TRUE
"P01","Tarantula","Statement-Based",0.282950105721517,TRUE,FALSE,TRUE,FALSE
"P02","Tarantula","Statement-Based",0.394700594405874,FALSE,TRUE,FALSE,FALSE
"P03","Tarantula","Statement-Based",0.213082465221096,FALSE,FALSE,FALSE,FALSE
"P04","Tarantula","Statement-Based",0.507652917378648,FALSE,FALSE,TRUE,FALSE
"P05","Tarantula","Statement-Based",0.312334437843519,FALSE,FALSE,TRUE,TRUE
"P06","Tarantula","Statement-Based",0.216307106502195,FALSE,FALSE,TRUE,TRUE
"P07","Tarantula","Statement-Based",0.248145340143206,TRUE,FALSE,FALSE,TRUE
"P08","Tarantula","Statement-Based",0.303004822895032,TRUE,FALSE,TRUE,TRUE
"P09","Tarantula","Statement-Based",0.18001769359193,FALSE,FALSE,TRUE,FALSE
"P10","Tarantula","Statement-Based",0.190689351441459,FALSE,FALSE,TRUE,FALSE
"P11","Tarantula","Statement-Based",0.138172045796576,FALSE,TRUE,FALSE,TRUE
"P12","Tarantula","Statement-Based",0.1473797544194,FALSE,TRUE,TRUE,FALSE
"P01","DStar","Predicate-Based",0.333803368026784,FALSE,TRUE,TRUE,TRUE
"P02","DStar","Predicate-Based",0.30161686170822,FALSE,TRUE,FALSE,TRUE
"P03","DStar","Predicate-Based",0.288302851387317,TRUE,TRUE,TRUE,TRUE
"P04","DStar","Predicate-Based",0.388701450908013,FALSE,TRUE,TRUE,TRUE
"P05","DStar","Predicate-Based",0.195927732851838,FALSE,FALSE,FALSE,TRUE
"P06","DStar","Predicate-Based",0.0473373528687856,FALSE,TRUE,FALSE,TRUE
"P07","DStar","Predicate-Based",0.366328100700277,FALSE,FALSE,TRUE,TRUE
"P08","DStar","Predicate-Based",0.165204020389463,TRUE,FALSE,TRUE,TRUE
"P09","DStar","Predicate-Based",0.18312223897597,TRUE,FALSE,FALSE,TRUE
"P10","DStar","Predicate-Based",0.42388168186622,TRUE,TRUE,TRUE,FALSE
"P11","DStar","Predicate-Based",0.288199817889122,FALSE,FALSE,TRUE,TRUE
"P12","DStar","Predicate-Based",0.18797613379078,FALSE,TRUE,FALSE,TRUE
"P01","GenProg","Predicate-Based",0.296922141059504,FALSE,TRUE,TRUE,FALSE
"P02","GenProg","Predicate-Based",0.211910565940248,FALSE,FALSE,TRUE,TRUE
"P03","GenProg","Predicate-Based",0.268843199161543,FALSE,TRUE,FALSE,FALSE
"P04","GenProg","Predicate-Based",0.328837108065196,FALSE,FALSE,FALSE,TRUE
"P05","GenProg","Predicate-Based",0.266199303273334,FALSE,FALSE,FALSE,TRUE
"P06","GenProg","Predicate-Based",0.389373561827799,TRUE,FALSE,TRUE,TRUE
"P07","GenProg","Predicate-Based",0.276531506091796,FALSE,FALSE,TRUE,TRUE
"P08","GenProg","Predicate-Based",0.277524702669986,TRUE,TRUE,FALSE,TRUE
"P09","GenProg","Predicate-Based",0.450886469718375,FALSE,TRUE,FALSE,TRUE
"P10","GenProg","Predicate-Based",0.319185173079532,FALSE,FALSE,FALSE,TRUE
"P11","GenProg","Predicate-Based",0.250514218700647,TRUE,FALSE,TRUE,TRUE
"P12","GenProg","Predicate-Based",0.435344790510872,FALSE,TRUE,FALSE,TRUE
"P01","Jaccard","Predicate-Based",0.40801239131053,FALSE,TRUE,TRUE,TRUE
"P02","Jaccard","Predicate-Based",0.333235186170584,FALSE,FALSE,FALSE,FALSE
"P03","Jaccard","Predicate-Based",0.24283481823443,FALSE,TRUE,TRUE,FALSE
"P04","Jaccard","Predicate-Based",0.224022846782383,FALSE,FALSE,TRUE,FALSE
"P05","Jaccard","Predicate-Based",0.215956866922614,FALSE,FALSE,FALSE,TRUE
"P06","Jaccard","Predicate-Based",0.466959822723483,FALSE,FALSE,TRUE,FALSE
"P07","Jaccard","Predicate-Based",0.242971228419298,FALSE,FALSE,FALSE,TRUE
"P08","Jaccard","Predicate-Based",0.173939922968647,TRUE,TRUE,TRUE,FALSE
"P09","Jaccard","Predicate-Based",0.201428394856741,FALSE,FALSE,FALSE,TRUE
"P10","Jaccard","Predicate-Based",0.344305865496653,FALSE,FALSE,FALSE,TRUE
"P11","Jaccard","Predicate-Based",0.231722902546357,FALSE,FALSE,FALSE,FALSE
"P12","Jaccard","Predicate-Based",0.233166206452434,TRUE,FALSE,FALSE,TRUE
"P01","Ochiai","Predicate-Based",0.220509851113529,FALSE,FALSE,TRUE,FALSE
"P02","Ochiai","Predicate-Based",0.301454665276875,TRUE,TRUE,FALSE,TRUE
"P03","Ochiai","Predicate-Based",0.232942774764121,FALSE,FALSE,TRUE,TRUE
"P04","Ochiai","Predicate-Based",0.124060529339141,TRUE,TRUE,TRUE,FALSE
"P05","Ochiai","Predicate-Based",0.294987900507061,TRUE,TRUE,FALSE,TRUE
"P06","Ochiai","Predicate-Based",0.218608379932875,TRUE,FALSE,TRUE,TRUE
"P07","Ochiai","Predicate-Based",0.406532764525288,TRUE,TRUE,TRUE,FALSE
"P08","Ochiai","Predicate-Based",0.103287516478284,FALSE,FALSE,FALSE,TRUE
