Algorithm,Approach,Exam_Score,Inspect_1,Inspect_3,Inspect_5,Inspect_10,Program,Method
DStar,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
DStar,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
DStar,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
DStar,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
DStar,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Weighted
DStar,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Baseline
GenProg,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
GenProg,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
GenProg,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
GenProg,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
GenProg,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Weighted
GenProg,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Jaccard,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Jaccard,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Jaccard,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Jaccard,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Jaccard,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Jaccard,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Ochiai,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Ochiai,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Ochiai,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Ochiai,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Ochiai,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Ochiai,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Tarantula,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Tarantula,Statement-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Tarantula,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Tarantula,Predicate-Based,1.0,True,True,True,True,sample_buggy_program.py,Baseline
Tarantula,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Weighted
Tarantula,Hybrid,1.0,True,True,True,True,sample_buggy_program.py,Baseline
